"animal_type","intake_condition","count_no_name"
"Bird","Other",7
"Bird","Normal",303
"Bird","Injured",163
"Bird","Sick",8
"Cat","Sick",1508
"Cat","Aged",22
"Cat","Feral",84
"Cat","Pregnant",16
"Cat","Injured",2105
"Cat","Medical",15
"Cat","Nursing",2138
"Cat","Other",59
"Cat","Normal",28194
"Dog","Pregnant",37
"Dog","Injured",1425
"Dog","Behavior",5
"Dog","Medical",22
"Dog","Other",59
"Dog","Normal",22973
"Dog","Nursing",985
"Dog","Feral",8
"Dog","Aged",68
"Dog","Sick",862
"Livestock","Sick",1
"Livestock","Normal",19
"Other","Other",5
"Other","Normal",3739
"Other","Feral",1
"Other","Injured",837
"Other","Nursing",90
"Other","Aged",2
"Other","Sick",1396
