Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A814119,"11800 GREEN GROVE DRIVE
AUSTIN 78725
(30.221901, -97.632008)",Yes (come to the shelter),02/19/2021,Dog,Pit Bull,Brown Brindle,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A814119
A829667,"9807 MARLBOROUGH DRIVE
AUSTIN 78753
(30.357344, -97.674667)",Yes (come to the shelter),02/20/2021,Dog,Anatolian Shepherd Mix,Yellow,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829667
A829669,"12501 TECH RIDGE BOULEVARD
AUSTIN 78753
(30.398698, -97.661704)",Yes (come to the shelter),02/20/2021,Dog,Labrador Retriever Mix,Tan/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829669
A829713,"10605 OLD LOCKHART ROAD
AUSTIN 78747
(30.128945, -97.755855)",Yes (come to the shelter),02/21/2021,Dog,Doberman Pinsch,Black/Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A829713
A829659,"14204 JACOBSON ROAD
AUSTIN 78617
(30.137238, -97.618754)",Yes (come to the shelter),02/19/2021,Dog,Labrador Retriever,Black/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A829659
A829660,"14204 JACOBSON ROAD
AUSTIN 78617
(30.137238, -97.618754)",Yes (come to the shelter),02/19/2021,Dog,Carolina Dog,Yellow Brindle/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A829660
A829661,"9604 CARSON CREEK
AUSTIN 78617
(30.224098, -97.666406)",Yes (come to the shelter),02/19/2021,Cat,Domestic Shorthair,Orange Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A829661
A829664,"DEL VALLE AUSTIN 78719
(30.143087, -97.673385)",Yes (come to the shelter),02/20/2021,Dog,Labrador Retriever,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829664
A829672,"AUSTIN 78744
(30.186349, -97.738673)",Yes (come to the shelter),02/20/2021,Dog,Doberman Pinsch,Black/Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A829672
A716730,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),02/22/2021,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A716730
A829721,"AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),02/22/2021,Dog,Toy Fox Terrier/Dachshund Longhair,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829721
A829725,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),02/22/2021,Dog,Doberman Pinsch,Black/Brown,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A829725
A829726,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),02/22/2021,Dog,Rottweiler,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829726
A829674,"14511 SANDIFER STREET78725
(30.236571, -97.587224)",Yes (come to the shelter),02/20/2021,Dog,Siberian Husky Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829674
A829676,"14511 SANDIFER STREET78725
(30.236571, -97.587224)",Yes (come to the shelter),02/20/2021,Dog,Siberian Husky Mix,Tricolor,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829676
A829727,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.23124, -97.795476)",Yes (come to the shelter),02/22/2021,Dog,Pit Bull,White/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A829727
