"animal_id","name","animal_type","pocet_odchodu"
"A721033","Lil Bit","Dog",33
"A718223","Bubba","Dog",14
"A718877","Blacky","Dog",12
"A706536","Butch","Dog",11
"A761266","Baily","Dog",9
"A716018","Luke","Dog",9
"A717053","Hildi","Dog",9
"A616444","Springdale","Dog",9
"A737814","Layla Ali","Dog",9
"A738073","Chucho","Dog",8
"A737833","Rio","Dog",8
"A694501","Penelope","Dog",8
"A700407","Malo","Dog",8
"A733594","Bruce Lee","Dog",8
"A693283","Maximus","Dog",8
"A738324","Stewart","Dog",8
"A705625","Jack","Dog",8
"A754989","Molly","Dog",8
"A670612","Sheila","Dog",8
"A753618","Pepe","Dog",7
"A658733","Skyler","Dog",7
"A683108","Clyde","Dog",7
"A671704","Chloe","Dog",7
"A770009","Chanel","Dog",7
"A753485","Jules","Dog",7
"A693036","*Chopper","Dog",7
"A720278","Perla","Dog",7
"A615920","Bluebelle","Dog",7
"A761751","Domino","Dog",7
"A784785","Beau Beau","Dog",7
"A665334","Mcruber","Dog",7
"A588601","Jackie","Dog",7
"A667894","Florence","Dog",7
"A790435","Trapper","Dog",7
"A742421","Deena","Dog",7
"A678294","Bro","Dog",7
"A735601","Olivia","Dog",7
"A775250","*Bentley","Dog",7
"A737854","Harley","Dog",7
"A782046","Hope","Dog",7
"A763125","Cane","Dog",7
"A593537","Chacha","Dog",7
"A662586","Love","Dog",7
"A774102","Skyler","Cat",7
"A741623","*Blanco","Dog",7
"A704287","Bevo","Dog",7
"A701901","Sasha","Dog",7
"A701265","Blue","Dog",7
"A678174","Scarlet Rose","Dog",6
"A676602","Farley","Dog",6
"A703649","*Kismet","Dog",6
"A695857","Cherry","Dog",6
"A623219","Bear","Dog",6
"A730144","Winston","Dog",6
"A636339","Eleanor","Dog",6
"A714669","Coota","Dog",6
"A719117","Morocco","Dog",6
"A666768","Faith","Dog",6
"A663819","Zeus","Dog",6
"A690234","Hershey","Dog",6
"A700396","Calseta","Dog",6
"A732906","Russel","Dog",6
"A700121","Rocky","Dog",6
"A693282","Sampson","Dog",6
"A733252","Shabby","Dog",6
"A732618","*Sidra","Dog",6
"A690543","*Scarlet","Dog",6
"A698790","Lola","Dog",6
"A462580","Chico","Dog",6
"A798240","Ricky","Dog",6
"A741359","Bongo","Dog",6
"A623561","Marley","Dog",6
"A792238","Cujo","Dog",6
"A775940","Max","Dog",6
"A642692","Chalmers","Dog",6
"A667458","Chino","Dog",6
"A730415","Jake","Dog",6
"A705228","Mamas","Dog",6
"A788793","Oreo","Dog",6
"A688610","*Nora","Dog",6
"A759467","Yeyo","Dog",6
"A738451","Niessa","Dog",6
"A709918","Francis","Dog",6
"A742163","Osito","Dog",6
"A683030","Tucker","Dog",6
"A740335","Jade","Dog",6
"A675366","Braker","Dog",6
"A697658","Killer","Dog",6
"A749473","Boss","Dog",6
"A676423","Tuffy","Dog",6
"A768053","Lilo","Dog",6
"A759990","Nieves","Dog",6
"A786674","Max","Dog",6
"A738268","Duke","Dog",6
"A708411","Bravi","Dog",6
"A687107","Montopolis","Dog",6
"A681167","Rosie","Dog",5
"A610531","Vegas","Dog",5
"A808587","Rocket","Dog",5
"A687360","Nila","Dog",5
"A668183","Nacha","Dog",5
"A761265","Lucas","Dog",5
"A672216","Rambo","Dog",5
"A681769","Pixie","Dog",5
"A623261","Baby","Dog",5
"A737779","Sichere","Dog",5
"A763300","Piggie","Dog",5
"A759963","Daniel","Dog",5
"A758365","Milo","Dog",5
"A712510","*Milo","Dog",5
"A718350","Trooper","Dog",5
"A770225","Maggie","Dog",5
"A565694","Nutty Buddy","Dog",5
"A664228","Kaya","Dog",5
"A669782","Jake","Dog",5
"A744649","Elena","Dog",5
"A765207","Brodie","Dog",5
"A616559","Stella","Dog",5
"A745002","Chewy","Dog",5
"A742220","Scout","Dog",5
"A709390","Lobo","Dog",5
"A735303","Ghost","Dog",5
"A689279","Wren","Dog",5
"A662953","Duke","Dog",5
"A671822","*Milo","Dog",5
"A698638","Pravesa","Dog",5
"A677853","*Otto","Dog",5
"A702922","Lili","Dog",5
"A771870","*Zoe","Dog",5
"A753449","Ruxson","Dog",5
"A748019","Rambo","Dog",5
"A776330","Woody","Dog",5
"A718577","*Kepler","Dog",5
"A607233","Lucy","Dog",5
"A733964","Niko","Dog",5
"A669900","Jinx","Dog",5
"A793757","Mijo","Dog",5
"A718077","*Wolfie","Dog",5
"A741211","Dodger","Dog",5
"A780009","Chico","Dog",5
"A767524","Charley","Dog",5
"A704004","Jack","Dog",5
"A737685","Rubi","Dog",5
"A790785","Bingo","Dog",5
"A739650","Bear","Dog",5
"A740698","Biggie","Dog",5
"A720905","Deadpool","Dog",5
"A593109","Sydney","Dog",5
"A673271","Tera","Dog",5
"A416147","Champion","Dog",5
"A724076","Ghost","Dog",5
"A694611","Roscoe","Dog",5
"A720393","Teddy","Dog",5
"A697910","Boris","Cat",5
"A739197","Molly","Dog",5
"A731343","Jay","Dog",5
"A613676","Hudson Hawk","Dog",5
"A700252","Manchas","Dog",5
"A666760","Amy","Dog",5
"A654782","Phoebe","Dog",5
"A621164","Gigi","Dog",5
"A741582","Scarlet","Dog",5
"A738679","Xena","Dog",5
"A710865","Lady","Dog",5
"A707579","Honey","Dog",5
"A679708","Major","Dog",5
"A787018","Maui","Dog",5
"A670937","Sadee Lynn","Dog",5
"A686365","Hazel","Dog",5
"A735302","Louie","Dog",5
"A776739","Kenzie","Dog",5
"A731032","Gabby","Dog",5
"A743311","Rain","Dog",5
"A792018","*Pumpkin","Dog",5
"A746101","Yukon","Dog",5
"A722084","Ivy","Dog",5
"A738936","Isabella Eve","Dog",5
"A709407","Nagini","Dog",5
"A691218","Skama","Dog",5
"A705236","Stormy","Dog",5
"A693266","Roxie","Dog",5
"A701879","Puma","Dog",5
"A720304","Zeus","Dog",5
"A703711","Domingo","Dog",5
"A734612","Benji","Dog",5
"A697222","Levon","Dog",5
"A750206","Arrow","Dog",5
"A661049","Kitten","Cat",5
"A704998","Daisy","Dog",5
"A767459","Blue","Dog",5
"A707114","Terri","Dog",5
"A664941","Tequila","Dog",5
"A679284","Sherman","Dog",5
"A773512","Emma Lou","Dog",5
"A761873","Jackie","Dog",5
"A734778","Negra","Dog",5
"A634392","Junior","Dog",5
"A687986","*Patron","Dog",5
"A730530","Riddick","Dog",5
"A768956","Lucky","Dog",5
"A762461","Furiosa","Dog",5
"A713661","Coco","Dog",5
"A767432","Chica","Dog",5
"A705930","Bleu","Dog",4
"A735133","Theseus","Dog",4
"A761051","Bluebell","Dog",4
"A768871","Yoshi","Dog",4
"A731916","Mimmie","Dog",4
"A696582","Kilo","Dog",4
"A787254","*Lacey","Dog",4
"A658920","Scott","Dog",4
"A764584","Max","Dog",4
"A683905","Luna","Dog",4
"A561853","Bandit","Dog",4
"A759491","Charlie","Dog",4
"A793240","Louie","Dog",4
"A694129","Bear","Dog",4
"A731356","Cowboy","Dog",4
"A669469","*Jackie","Dog",4
"A739220","Polly","Dog",4
"A758895","Rosa","Dog",4
"A764464","Pepper","Dog",4
"A729204","Mia","Dog",4
"A679873","Red","Dog",4
"A601482","Pepe","Dog",4
"A674305","Aspen","Dog",4
"A739004","Kali","Dog",4
"A704999","Lion","Dog",4
"A738734","Hogan","Dog",4
"A776565","Max","Dog",4
"A721984","Fifi","Dog",4
"A770594","Louis","Dog",4
"A672676","Rocky","Dog",4
"A672093","Boss","Dog",4
"A777890","Kilo","Dog",4
"A769099","Phoebe","Dog",4
"A740458","Marshmallow","Dog",4
"A785641","Sony","Dog",4
"A732619","Cassy","Dog",4
"A704697","Captain","Dog",4
"A772073","Dave","Dog",4
"A689343","Cookie","Dog",4
"A566868","Mayhem","Dog",4
"A749086","Sophie","Cat",4
"A783146","Glory","Dog",4
"A632028","Daisy","Dog",4
"A734132","Prince","Dog",4
"A767718","Yankee","Dog",4
"A813055","Rocko","Dog",4
"A776687","Gracie","Dog",4
"A675008","Bertie Lu","Dog",4
"A692653","Luna","Dog",4
"A663422","Sparky Rex","Dog",4
"A690431","*Spooky","Cat",4
"A775101","Casper","Dog",4
"A766372","Mila","Dog",4
"A787855","Nico","Dog",4
"A783120","Creasy","Dog",4
"A670953","Penny","Dog",4
"A752522","Kimbo","Dog",4
"A753351","*Charming","Dog",4
"A734520","Pablo","Dog",4
"A633545","Sugar","Dog",4
"A624771","*Boudreaux","Dog",4
"A795706","*Skittles","Dog",4
"A746425","Dixie","Dog",4
"A789702","*Himalaya","Dog",4
"A746816","Leila","Dog",4
"A719715","Lambau","Dog",4
"A725726","Lovely","Dog",4
"A640424","Ranger","Dog",4
"A699262","Mika","Dog",4
"A554047","Mega","Dog",4
"A765803","Major","Dog",4
"A524092","Lola","Dog",4
"A732861","Fozzy","Dog",4
"A716753","*Ozzy","Dog",4
"A765909","Lucas","Dog",4
"A767780","Sasha","Cat",4
"A759173","Paco","Dog",4
"A776949","Twitch","Cat",4
"A713318","Charlie","Dog",4
"A681252","London","Dog",4
"A803038","Pancake","Dog",4
"A721537","Bullet G","Dog",4
"A721103","Lulu","Dog",4
"A729499","Levi","Dog",4
"A664058","Ace","Dog",4
"A570181","Perlita","Dog",4
"A761382","Cash","Dog",4
"A671025","Cody","Dog",4
"A766475","Steve","Dog",4
"A796305","Weezer","Dog",4
"A803463","Kimchi","Dog",4
"A710186","Elsa","Dog",4
"A710439","Vinny","Dog",4
"A633402","Canela","Dog",4
"A670790","Bueller","Dog",4
"A761779","Tiny B","Dog",4
"A700146","Scar","Cat",4
"A670868","Bella","Dog",4
"A709297","Sirius","Dog",4
"A583951","Tex","Dog",4
"A786143","Rosie","Dog",4
"A698372","Coco","Dog",4
"A717068","*Lapsidaisy","Dog",4
"A811566","Bubby","Cat",4
"A663598","Dolly","Dog",4
"A718327","Sasha","Dog",4
"A750065","Millie","Dog",4
"A668079","King","Dog",4
"A752742","Elmer","Dog",4
"A650409","Cricket","Dog",4
"A696932","Coach","Dog",4
"A720611","Scooby","Dog",4
"A767070","Marshmallow","Dog",4
"A692221","Rocky","Dog",4
"A717679","*Waldo","Dog",4
"A671558","Sage","Dog",4
"A727203","Peaches","Dog",4
"A716372","Mio","Dog",4
"A676035","Sasha","Dog",4
"A682924","Neptune","Dog",4
"A777234","Tyson","Dog",4
"A697794","*Trent","Dog",4
"A782343","Bullet","Dog",4
"A733430","Flaco","Dog",4
"A786435","Leo","Cat",4
"A692511","Ella","Dog",4
"A666617","Sasha","Dog",4
"A676235","Lily","Dog",4
"A694738","Moxie","Dog",4
"A769109","Oso","Dog",4
"A671076","Bullet","Dog",4
"A721177","Charlie","Dog",4
"A695354","Hannah","Dog",4
"A572200","Zimba","Dog",4
"A692281","Precious","Dog",4
"A764518","Butterscotch","Cat",4
"A557260","Pinto","Dog",4
"A739583","Halo","Dog",4
"A707093","Chase","Dog",4
"A646990","King","Dog",4
"A742897","Nala","Dog",4
"A765260","Zeus","Dog",4
"A731245","Jill","Dog",4
"A762784","*Jackie","Dog",4
"A769150","Gizmo","Dog",4
"A782065","Prieto","Dog",4
"A778653","Apollonia","Dog",4
"A825138","*Rainbow Brite","Dog",4
"A735973","Buddy","Dog",4
"A787448","Watermelon","Dog",4
"A696438","Biscuit","Dog",4
"A738735","Canelo","Dog",4
"A682000","Lita","Dog",4
"A686201","Chicharro","Dog",4
"A755341","Charlie","Dog",4
"A683020","Mimi","Dog",4
"A685838","Beast","Dog",4
"A732833","Vito","Dog",4
"A648685","Hog","Dog",4
"A731689","Ziggy","Dog",4
"A653050","Cali","Dog",4
"A711613","Lola","Dog",4
"A729287","King","Dog",4
"A732319","Benton","Dog",4
"A670977","Rocky","Dog",4
"A721601","Axylleous","Dog",4
"A712791","Tarzan","Dog",4
"A753573","Jake","Cat",4
"A820458","Boudreux","Dog",4
"A750439","Jacobi","Dog",4
"A711910","Zoey","Dog",4
"A681195","Lucky","Dog",4
"A716006","Snoopy","Dog",4
"A714760","Aria","Cat",4
"A468181","Marley","Dog",4
"A666110","Precious","Dog",4
"A670800","Dragon","Dog",4
"A760116","Jasmine","Dog",4
"A719747","Layla","Dog",4
"A755274","Titan","Dog",4
"A753148","Dandelion","Cat",4
"A733120","Poquito","Dog",4
"A629344","Champ Hogan","Dog",4
"A696083","Delena","Dog",4
"A782253","Chulo","Dog",4
"A681226","Chico","Dog",4
"A742476","*Spuds","Dog",4
"A737358","Bear","Dog",4
"A713523","Buster","Dog",4
"A717102","*Rufus","Dog",4
"A694967","Jewels","Dog",4
"A713437","Lily","Dog",4
"A740282","Rocky","Dog",4
"A735894","Marley","Dog",4
"A564774","Juicy","Dog",4
"A676071","Jackson","Dog",4
"A643862","Brownie","Dog",4
"A765815","Rosco","Dog",4
"A790482","Blue","Dog",4
"A742767","Marley","Dog",4
"A711968","Parker","Dog",4
"A742283","Luna","Dog",4
"A716669","Leia","Dog",4
"A670407","Buster","Dog",4
"A738561","Beast","Dog",4
"A809343","Sage","Dog",4
"A726054","Wednesday","Dog",4
"A785939","Brixton","Dog",4
"A734218","Saki","Dog",4
"A803768","Kylo","Dog",4
"A717111","Luna","Dog",4
"A746625","Blue","Dog",4
"A775966","Sunny","Dog",4
"A726552","Dani","Dog",4
"A775791","Axl","Dog",4
"A713139","Bruno","Dog",4
"A785450","Azumi","Dog",4
"A804022","Hudson","Dog",4
"A766554","Roxy","Dog",4
"A800774","*Molly Sue","Dog",4
"A680949","Lolo","Dog",4
"A569057","Marisol","Dog",4
"A773909","Rocky","Dog",4
"A753338","Skyy","Dog",4
"A735904","Sandy","Dog",4
"A729015","Chile","Dog",4
"A716922","Lucy","Dog",4
"A693065","Z","Cat",4
"A790440","Duke","Dog",4
"A692835","Dana","Dog",4
"A760015","Baxter","Dog",4
"A748674","Princess","Dog",4
"A702014","Diamond","Dog",4
"A673986","Biskit","Dog",4
"A771587","Oliver","Cat",4
"A695189","Gunner","Dog",4
"A762805","Blanco","Dog",4
"A765468","Skye","Dog",4
"A761255","Beau","Dog",4
"A620803","Sassy","Dog",4
"A695702","Dbo","Dog",4
"A711582","Angelina","Dog",4
"A736717","Max","Dog",4
"A788124","Yue","Dog",4
"A668184","Pecas","Dog",4
"A578861","Ruby","Dog",4
"A750482","Socks","Dog",4
"A781869","Scrappy","Dog",4
"A692033","Brick","Dog",4
"A738980","Lova","Dog",4
"A700015","Big Girl","Dog",4
"A772366","Osiris","Dog",4
"A695830","Snowy","Dog",4
"A668200","Crush","Dog",4
"A727332","*Maddy","Dog",4
"A619084","Dude","Dog",4
"A733508","Rocky","Dog",4
"A767353","Bella","Dog",4
"A707669","Felix","Cat",4
"A668664","*Xavier","Dog",4
"A791205","Bear","Dog",4
"A685120","Harlow","Dog",4
"A700839","*Turkey","Dog",4
"A706178","Kilo","Dog",4
"A811263","Scout","Dog",4
"A647363","Daisy","Dog",4
"A748253","Cocoa","Dog",4
"A765279","Jasper","Dog",4
"A765714","*Sierra","Dog",4
"A765283","Lu","Dog",4
"A789377","Panchito","Dog",4
"A769043","Kado","Dog",4
"A729527","*Benny","Dog",4
"A820540","Herman","Dog",4
"A731692","Maddie","Dog",4
"A743422","Luly","Dog",4
"A766903","Miles","Dog",4
"A731987","Karma","Dog",4
"A697253","Hazel","Dog",4
"A736335","Lola","Dog",4
"A749704","Tramp","Dog",4
"A790210","*Cortez","Dog",4
"A797298","*Jasper","Dog",4
"A777926","Dawson","Dog",4
"A761100","Shadow","Dog",4
"A696817","Leia","Dog",4
"A669399","Sugar","Dog",4
"A559953","Midnight","Dog",4
"A760238","Chloe","Dog",4
"A761042","Prince","Dog",4
"A671158","Lyle","Dog",4
"A677333","Plex","Dog",4
"A735735","Tako","Dog",4
"A607523","Chance","Dog",4
"A730330","*Saucer","Dog",4
"A730275","Chai","Dog",4
"A760425","Kira","Dog",4
"A779727","Daisy","Dog",4
"A621341","Chulo","Dog",4
"A749325","Amber","Dog",4
"A665625","Snickers","Dog",4
"A721909","Jade","Dog",4
"A689959","Izzy","Dog",4
"A766341","Bagel","Dog",4
"A430709","Spirit","Dog",4
"A707462","Abby","Dog",4
"A661788","Taz","Dog",4
"A534780","Oliver","Dog",4
"A711612","Rambo","Dog",4
"A612961","Carla","Dog",4
"A737987","Kapone","Dog",4
"A773029","Daisy","Dog",4
"A720576","Rustler","Dog",4
"A781406","Phoebe","Dog",4
"A730378","Brew","Dog",4
"A608858","Spike","Dog",4
"A678243","Ace","Dog",4
"A708359","Ganja","Dog",4
"A783844","Rocky","Dog",4
"A754921","Princess","Dog",4
"A756035","Boni","Dog",4
"A660790","Clyde","Dog",4
"A684412","Ben","Dog",4
"A704211","Sage","Dog",4
"A640122","Gavin","Dog",4
"A710054","Cuddles","Dog",4
"A740998","Abby","Dog",4
"A733317","Tessa","Dog",4
"A679921","Smokey","Cat",4
"A776941","*Jojo","Dog",4
"A810189","Daisy","Dog",4
"A742648","Billie Jean","Dog",4
"A774969","Waffles","Dog",4
"A765336","Ice","Dog",4
"A732994","*Sidney","Cat",4
"A627189","Axel","Dog",4
"A562836","Chiquita","Dog",4
"A650148","Doughie Bear","Dog",4
"A670722","Jake","Dog",4
"A767605","George","Dog",4
"A760749","Drogo","Dog",4
"A689738","Kira","Dog",4
"A702481","Winnie","Dog",4
"A683549","Katrina","Dog",4
"A672860","Miracle","Dog",4
"A751091","Peanut","Cat",4
"A700287","Austin","Dog",4
"A716013","Haze","Dog",4
"A670652","Liam","Cat",4
"A730840","Fido","Dog",4
"A660946","Holo","Dog",4
"A783803","Bailey","Dog",4
"A667948","Lulu","Dog",4
"A567903","Spot","Dog",4
"A689565","King","Dog",4
"A695717","Rohan","Dog",4
"A719756","Fluffy","Dog",4
"A715275","Bandit","Dog",4
"A705151","Nana","Dog",4
"A785922","Gizmo","Dog",4
"A717244","Booboo","Dog",4
"A698591","Tallulah","Dog",4
"A754762","Ivy","Dog",4
"A630889","Baylah","Dog",4
"A773866","*Nitro","Dog",4
"A704526","Lucy","Dog",4
"A746600","Remus","Dog",4
"A755110","B","Dog",4
"A736639","Oprah","Dog",4
"A732172","Clyde","Dog",4
"A725432","Clark","Dog",4
"A760403","Dallas","Dog",4
"A658843","Rudy","Dog",4
"A783950","Lola","Dog",4
"A780842","Hashy","Dog",4
"A699108","Toby","Dog",4
"A775359","Blue","Dog",4
"A722825","Fay","Dog",4
"A734435","Lilly","Cat",4
"A751461","Wilder","Dog",4
"A714493","Kibby","Dog",4
"A754288","Patches","Dog",4
"A675432","Chuck","Dog",4
"A664578","Rufus","Dog",4
"A684708","Bentley","Dog",4
"A729804","Taz","Dog",4
"A789646","Pinkie","Dog",4
"A766326","Snow","Dog",4
"A711239","Duncan","Dog",4
"A742423","Dante","Dog",4
"A768337","*Lyle","Dog",4
"A708737","Maverick","Dog",4
"A694812","Peaches","Dog",3
"A732650","Mr. Teddy","Dog",3
"A664798","Angel","Dog",3
"A786218","*Jace","Dog",3
"A697854","Monty","Dog",3
"A677626","Peppa","Cat",3
"A725141","Rex","Dog",3
"A692603","Crook","Dog",3
"A680252","Brienne","Dog",3
"A690188","Snakes","Dog",3
"A676819","Molly","Dog",3
"A749091","Buster","Dog",3
"A762462","Vinney","Dog",3
"A730602","*Link","Dog",3
"A779316","Frankie","Dog",3
"A770605","Kiki","Dog",3
"A620531","*Colt","Dog",3
"A727277","*Hank","Cat",3
"A757898","Macho","Dog",3
"A675068","Griffin","Dog",3
"A699731","Mugsy","Cat",3
"A665123","*Adele","Dog",3
"A792391","Max","Dog",3
"A724061","Darby","Dog",3
"A693388","Cowboy","Dog",3
"A736653","Babaloo","Dog",3
"A643703","Popcorn","Dog",3
"A743568","Gosling","Dog",3
"A804542","*Chester","Dog",3
"A676885","Frankie","Dog",3
"A781092","Shiloh","Dog",3
"A738605","Mack","Dog",3
"A767536","Storm","Dog",3
"A770864","Charlene","Dog",3
"A767357","Tulip","Dog",3
"A798329","*Baby Blue","Dog",3
"A738903","*Mack","Dog",3
"A649745","Bobbafett","Dog",3
"A740880","Bella","Dog",3
"A823880","Billy Joel","Dog",3
"A822530","Sadie","Dog",3
"A664598","Diva","Dog",3
"A683938","Jack","Dog",3
"A780743","Biscuit","Dog",3
"A739058","Mamas","Dog",3
"A697843","Rio","Dog",3
"A781970","Dream","Dog",3
"A713543","*Mao","Cat",3
"A735954","Melo","Dog",3
"A786126","*Landon","Dog",3
"A783661","Trinity","Dog",3
"A743958","*Indie","Dog",3
"A755498","Stanley","Dog",3
"A667873","Gee","Dog",3
"A754170","Diva","Dog",3
"A668224","Bear","Dog",3
"A784826","Muneca","Dog",3
"A779226","*Bobby","Dog",3
"A727923","Z","Dog",3
"A664702","Harley","Dog",3
"A749411","Tehya","Dog",3
"A681890","Marilyn","Dog",3
"A679312","Stuart","Dog",3
"A821591","Sailor","Cat",3
"A746586","Dolly","Dog",3
"A716755","Princess","Dog",3
"A750518","Red","Dog",3
"A742726","Sampson","Dog",3
"A696970","Rowdy","Dog",3
"A749583","Buddy","Dog",3
