"mesic","pocet_odchodu","animal_type"
1,6364,"Dog"
1,2814,"Cat"
1,377,"Other"
1,35,"Bird"
1,2,"Livestock"
2,5847,"Dog"
2,2159,"Cat"
2,478,"Other"
2,17,"Bird"
2,1,"Livestock"
3,5880,"Dog"
3,2196,"Cat"
3,1139,"Other"
3,74,"Bird"
3,4,"Livestock"
4,5212,"Dog"
4,2681,"Cat"
4,661,"Other"
4,46,"Bird"
4,2,"Livestock"
5,5943,"Dog"
5,3951,"Cat"
5,475,"Other"
5,70,"Bird"
5,2,"Livestock"
6,5554,"Dog"
6,5383,"Cat"
6,569,"Other"
6,49,"Bird"
6,1,"Livestock"
7,5668,"Dog"
7,5589,"Cat"
7,501,"Other"
7,43,"Bird"
7,1,"Livestock"
8,5590,"Dog"
8,5085,"Cat"
8,587,"Other"
8,33,"Bird"
8,1,"Livestock"
9,5541,"Dog"
9,4446,"Cat"
9,458,"Other"
9,73,"Bird"
9,1,"Livestock"
10,6474,"Dog"
10,4696,"Cat"
10,585,"Other"
10,58,"Bird"
10,2,"Livestock"
11,5927,"Dog"
11,4026,"Cat"
11,400,"Other"
11,49,"Bird"
11,2,"Livestock"
12,6516,"Dog"
12,3736,"Cat"
12,378,"Other"
12,38,"Bird"
12,1,"Livestock"
